# Ashcroft-Langreth Sij(q)       [Ge,Ge]                   
        0.4530642266           0.0783859183   
        0.5021580981           0.0108983576   
        0.5512519697          -0.0280663858   
        0.6003458412          -0.0419505677   
        0.6494397128          -0.0362884777   
        0.6985335843          -0.0177102407   
        0.7476274559           0.0070780262   
        0.7967213274           0.0321905662   
        0.8458151990           0.0532201009   
        0.8949090705           0.0675903448   
        0.9440029421           0.0745890704   
        0.9930968136           0.0751184122   
        1.0421906852           0.0712387278   
        1.0912845567           0.0656056738   
        1.1403784282           0.0609050245   
        1.1894722998           0.0593772975   
        1.2385661713           0.0624983615   
        1.2876600429           0.0708486662   
        1.3367539144           0.0841689253   
        1.3858477860           0.1015698690   
        1.4349416575           0.1218423983   
        1.4840355291           0.1438044095   
        1.5331294006           0.1666217833   
        1.5822232722           0.1900517662   
        1.6313171437           0.2145740946   
        1.6804110153           0.2413951345   
        1.7295048868           0.2723295977   
        1.7785987584           0.3095804253   
        1.8276926299           0.3554486305   
        1.8767865014           0.4120107996   
        1.9258803730           0.4808029976   
        1.9749742445           0.5625469614   
        2.0240681161           0.6569488031   
        2.0731619876           0.7625929365   
        2.1222558592           0.8769452374   
        2.1713497307           0.9964698853   
        2.2204436023           1.1168541511   
        2.2695374738           1.2333248706   
        2.3186313454           1.3410301054   
        2.3677252169           1.4354505030   
        2.4168190885           1.5127984669   
        2.4659129600           1.5703608611   
        2.5150068316           1.6067437945   
        2.5641007031           1.6219866523   
        2.6131945746           1.6175266397   
        2.6622884462           1.5960132676   
        2.7113823177           1.5609920950   
        2.7604761893           1.5164956036   
        2.8095700608           1.4665931685   
        2.8586639324           1.4149590186   
        2.9077578039           1.3645152210   
        2.9568516755           1.3171959236   
        3.0059455470           1.2738607975   
        3.0550394186           1.2343627306   
        3.1041332901           1.1977511727   
        3.1532271617           1.1625722212   
        3.2023210332           1.1272131138   
        3.2514149048           1.0902345987   
        3.3005087763           1.0506402713   
        3.3496026479           1.0080461629   
        3.3986965194           0.9627337590   
        3.4477903909           0.9155912815   
        3.4968842625           0.8679672925   
        3.5459781340           0.8214738564   
        3.5950720056           0.7777813291   
        3.6441658771           0.7384428066   
