#  q,  S(q) X-rays
   0.4512453449        0.1217130406
   0.5003428542        0.0410693910
   0.5494403635       -0.0156008313
   0.5985378728       -0.0479033667
   0.6476353822       -0.0576775468
   0.6967328915       -0.0486581578
   0.7458304008       -0.0259319090
   0.7949279101        0.0047461528
   0.8440254194        0.0376895855
   0.8931229287        0.0679740352
   0.9422204380        0.0919941647
   0.9913179473        0.1078089711
   1.0404154566        0.1152308358
   1.0895129660        0.1156521576
   1.1386104753        0.1116440908
   1.1877079846        0.1063980542
   1.2368054939        0.1031060335
   1.2859030032        0.1043855798
   1.3350005125        0.1118476203
   1.3840980218        0.1258805637
   1.4331955311        0.1456865079
   1.4822930404        0.1695608481
   1.5313905497        0.1953628460
   1.5804880591        0.2210894123
   1.6295855684        0.2454438371
   1.6786830777        0.2682893871
   1.7277805870        0.2908952534
   1.7768780963        0.3159166064
   1.8259756056        0.3470958203
   1.8750731149        0.3887206157
   1.9241706242        0.4449185820
   1.9732681335        0.5188987106
   2.0223656428        0.6122637072
   2.0714631522        0.7245095380
   2.1205606615        0.8528019385
   2.1696581708        0.9920778008
   2.2187556801        1.1354693245
   2.2678531894        1.2749987410
   2.3169506987        1.4024494576
   2.3660482080        1.5102922947
   2.4151457173        1.5925372967
   2.4642432266        1.6453933721
   2.5133407359        1.6676475216
   2.5624382453        1.6607175833
   2.6115357546        1.6283803525
   2.6606332639        1.5762230170
   2.7097307732        1.5109030871
   2.7588282825        1.4393250677
   2.8079257918        1.3678482019
   2.8570233011        1.3016286494
   2.9061208104        1.2441740835
   2.9552183197        1.1971535839
   3.0043158290        1.1604667556
   3.0534133384        1.1325393183
   3.1025108477        1.1107832642
   3.1516083570        1.0921418415
   3.2007058663        1.0736348029
   3.2498033756        1.0528271793
   3.2989008849        1.0281630437
   3.3479983942        0.9991306921
   3.3970959035        0.9662531107
   3.4461934128        0.9309232735
   3.4952909221        0.8951241643
   3.5443884315        0.8610860326
   3.5934859408        0.8309372425
   3.6425834501        0.8064004966
   3.6916809594        0.7885747427
   3.7407784687        0.7778270142
   3.7898759780        0.7738005325
   3.8389734873        0.7755282825
   3.8880709966        0.7816272133
   3.9371685059        0.7905388236
   3.9862660153        0.8007779706
   4.0353635246        0.8111533094
   4.0844610339        0.8209291341
   4.1335585432        0.8299083450
   4.1826560525        0.8384282403
   4.2317535618        0.8472731914
   4.2808510711        0.8575194156
   4.3299485804        0.8703356987
   4.3790460897        0.8867691029
   4.4281435990        0.9075459312
   4.4772411084        0.9329155061
   4.5263386177        0.9625581296
   4.5754361270        0.9955697820
   4.6245336363        1.0305258526
   4.6736311456        1.0656158113
   4.7227286549        1.0988315291
   4.7718261642        1.1281851226
   4.8209236735        1.1519285666
   4.8700211828        1.1687473354
   4.9191186921        1.1779039350
   4.9682162015        1.1793138692
   5.0173137108        1.1735454020
   5.0664112201        1.1617442463
   5.1155087294        1.1454937136
   5.1646062387        1.1266286842
   5.2137037480        1.1070270065
   5.2628012573        1.0884040224
   5.3118987666        1.0721346758
   5.3609962759        1.0591233955
   5.4100937852        1.0497353329
   5.4591912946        1.0437945352
   5.5082888039        1.0406463276
   5.5573863132        1.0392736083
   5.6064838225        1.0384508206
   5.6555813318        1.0369156722
   5.7046788411        1.0335375212
   5.7537763504        1.0274627219
   5.8028738597        1.0182208017
   5.8519713690        1.0057805871
   5.9010688783        0.9905516342
   5.9501663877        0.9733328145
   5.9992638970        0.9552159347
   6.0483614063        0.9374572141
   6.0974589156        0.9213327879
   6.1465564249        0.9079958386
   6.1956539342        0.8983523308
   6.2447514435        0.8929697309
   6.2938489528        0.8920287950
   6.3429464621        0.8953230165
   6.3920439714        0.9023042529
   6.4411414808        0.9121671672
   6.4902389901        0.9239601666
   6.5393364994        0.9367071983
   6.5884340087        0.9495235560
   6.6375315180        0.9617100048
   6.6866290273        0.9728129317
   6.7357265366        0.9826434406
   6.7848240459        0.9912545838
   6.8339215552        0.9988823160
   6.8830190645        1.0058612746
   6.9321165739        1.0125302313
   6.9812140832        1.0191434084
   7.0303115925        1.0258025624
   7.0794091018        1.0324209987
   7.1285066111        1.0387251398
   7.1776041204        1.0442928307
   7.2267016297        1.0486213714
   7.2757991390        1.0512133420
   7.3248966483        1.0516654937
   7.3739941577        1.0497457493
   7.4230916670        1.0454456754
   7.4721891763        1.0390001846
   7.5212866856        1.0308718522
   7.5703841949        1.0217030473
   7.6194817042        1.0122440603
   7.6685792135        1.0032687040
   7.7176767228        0.9954900117
   7.7667742321        0.9894875967
   7.8158717414        0.9856553552
   7.8649692508        0.9841741796
   7.9140667601        0.9850100761
   7.9631642694        0.9879343623
   8.0122617787        0.9925601149
   8.0613592880        0.9983880244
   8.1104567973        1.0048552629
   8.1595543066        1.0113824804
   8.2086518159        1.0174160333
   8.2577493252        1.0224643874
   8.3068468345        1.0261287991
   8.3559443439        1.0281286174
   8.4050418532        1.0283209098
   8.4541393625        1.0267129588
   8.5032368718        1.0234650422
   8.5523343811        1.0188803948
   8.6014318904        1.0133797998
   8.6505293997        1.0074600551
   8.6996269090        1.0016384068
   8.7487244183        0.9963884026
