# Faber-Ziman Sij(q)             [Ge,Ge]                   
        0.4476127767           0.1138041269   
        0.4967175511           0.0394158098   
        0.5458223255          -0.0087827389   
        0.5949271000          -0.0325334404   
        0.6440318744          -0.0357080592   
        0.6931366489          -0.0235564811   
        0.7422414233          -0.0018569358   
        0.7913461978           0.0239064212   
        0.8404509722           0.0492240079   
        0.8895557467           0.0710125253   
        0.9386605211           0.0877910057   
        0.9877652956           0.0995801915   
        1.0368700700           0.1075685790   
        1.0859748445           0.1136241656   
        1.1350796189           0.1197522870   
        1.1841843934           0.1276036093   
        1.2332891678           0.1381219831   
        1.2823939422           0.1513921855   
        1.3314987167           0.1667079071   
        1.3806034911           0.1828377697   
        1.4297082656           0.1984292816   
        1.4788130400           0.2124642457   
        1.5279178145           0.2246689914   
        1.5770225889           0.2357907606   
        1.6261273634           0.2476762414   
        1.6752321378           0.2631251384   
        1.7243369123           0.2855340846   
        1.7734416867           0.3183863279   
        1.8225464612           0.3646730406   
        1.8716512356           0.4263470894   
        1.9207560101           0.5039067655   
        1.9698607845           0.5961857734   
        2.0189655589           0.7003904757   
        2.0680703334           0.8123824078   
        2.1171751078           0.9271612654   
        2.1662798823           1.0394687923   
        2.2153846567           1.1444136489   
        2.2644894312           1.2380151212   
        2.3135942056           1.3175797830   
        2.3626989801           1.3818568034   
        2.4118037545           1.4309585315   
        2.4609085290           1.4660755570   
        2.5100133034           1.4890516600   
        2.5591180779           1.5019071855   
        2.6082228523           1.5064052177   
        2.6573276268           1.5037425978   
        2.7064324012           1.4944199595   
        2.7555371756           1.4783071131   
        2.8046419501           1.4548797855   
        2.8537467245           1.4235688039   
        2.9028514990           1.3841401281   
        2.9519562734           1.3370180787   
        3.0010610479           1.2834758127   
        3.0501658223           1.2256442351   
        3.0992705968           1.1663277348   
        3.1483753712           1.1086550654   
        3.1974801457           1.0556284820   
        3.2465849201           1.0096569784   
        3.2956896946           0.9721655788   
        3.3447944690           0.9433607439   
        3.3938992435           0.9222041701   
        3.4430040179           0.9066087792   
        3.4921087923           0.8938287785   
        3.5412135668           0.8809782978   
        3.5903183412           0.8655874097   
        3.6394231157           0.8460952802   
        3.6885278901           0.8221896138   
        3.7376326646           0.7949278267   
        3.7867374390           0.7666137493   
        3.8358422135           0.7404470996   
        3.8849469879           0.7200035735   
        3.9340517624           0.7086337770   
        3.9831565368           0.7088839303   
        4.0322613113           0.7220377347   
        4.0813660857           0.7478577860   
        4.1304708602           0.7845703470   
        4.1795756346           0.8290954561   
        4.2286804090           0.8774827223   
        4.2777851835           0.9254790483   
        4.3268899579           0.9691337298   
        4.3759947324           1.0053422095   
        4.4250995068           1.0322424957   
        4.4742042813           1.0494051932   
        4.5233090557           1.0577941257   
        4.5724138302           1.0595131490   
        4.6215186046           1.0573892308   
        4.6706233791           1.0544664902   
        4.7197281535           1.0534968803   
        4.7688329280           1.0565093398   
        4.8179377024           1.0645219354   
        4.8670424769           1.0774344415   
        4.9161472513           1.0941070860   
        4.9652520258           1.1126005048   
        5.0143568002           1.1305274112   
        5.0634615746           1.1454518550   
        5.1125663491           1.1552690131   
        5.1616711235           1.1585068616   
        5.2107758980           1.1545085603   
        5.2598806724           1.1434772519   
        5.3089854469           1.1263889162   
        5.3580902213           1.1047997761   
        5.4071949958           1.0805892285   
        5.4562997702           1.0556854944   
        5.5054045447           1.0318188432   
        5.5545093191           1.0103375866   
        5.6036140936           0.9921074444   
        5.6527188680           0.9774984037   
        5.7018236425           0.9664478931   
        5.7509284169           0.9585775393   
        5.8000331913           0.9533346127   
        5.8491379658           0.9501290109   
        5.8982427402           0.9484416728   
        5.9473475147           0.9478891720   
        5.9964522891           0.9482398609   
