#  q,  S(q) neutrons
   0.4743816766        0.2431066734
   0.5234329133        0.1600182150
   0.5724841499        0.0790115986
   0.6215353866        0.0059528851
   0.6705866232       -0.0541040595
   0.7196378599       -0.0976099731
   0.7686890965       -0.1229565697
   0.8177403332       -0.1305852315
   0.8667915698       -0.1227589903
   0.9158428065       -0.1030526848
   0.9648940431       -0.0756689480
   1.0139452798       -0.0447189271
   1.0629965164       -0.0136100913
   1.1120477531        0.0153417884
   1.1610989897        0.0410086641
   1.2101502263        0.0632501466
   1.2592014630        0.0824788296
   1.3082526996        0.0991065940
   1.3573039363        0.1130186926
   1.4063551729        0.1232234168
   1.4554064096        0.1277943295
   1.5044576462        0.1241640025
   1.5535088829        0.1097530632
   1.6025601195        0.0828401425
   1.6516113562        0.0435123530
   1.7006625928       -0.0055038991
   1.7497138295       -0.0583359588
   1.7987650661       -0.1059505882
   1.8478163028       -0.1367297176
   1.8968675394       -0.1376369088
   1.9459187760       -0.0958683762
   1.9949700127       -0.0007840217
   2.0440212493        0.1541581369
   2.0930724860        0.3697721523
   2.1421237226        0.6401095028
   2.1911749593        0.9522436072
   2.2402261959        1.2869897974
   2.2892774326        1.6205434343
   2.3383286692        1.9268794742
   2.3873799059        2.1806335501
   2.4364311425        2.3600976641
   2.4854823792        2.4499278852
   2.5345336158        2.4431843436
   2.5835848525        2.3424036043
   2.6326360891        2.1595295614
   2.6816873257        1.9146833412
   2.7307385624        1.6339127060
   2.7797897990        1.3462034084
   2.8288410357        1.0801377227
   2.8778922723        0.8606337280
   2.9269435090        0.7061858467
   2.9759947456        0.6269548992
   3.0250459823        0.6239356700
   3.0740972189        0.6892798359
   3.1231484556        0.8076944129
   3.1721996922        0.9586936174
   3.2212509289        1.1193753477
   3.2703021655        1.2673366578
   3.3193534022        1.3833420489
   3.3684046388        1.4534119977
   3.4174558754        1.4700967498
   3.4665071121        1.4328258114
   3.5155583487        1.3473571443
   3.5646095854        1.2244719241
   3.6136608220        1.0781537757
   3.6627120587        0.9235438209
   3.7117632953        0.7749696295
   3.7608145320        0.6443094037
   3.8098657686        0.5398810362
   3.8589170053        0.4659523563
   3.9079682419        0.4228695805
   3.9570194786        0.4077111278
   4.0060707152        0.4153063606
   4.0551219519        0.4394218478
   4.1041731885        0.4739143702
   4.1532244251        0.5136775906
   4.2022756618        0.5552609252
   4.2513268984        0.5971043739
   4.3003781351        0.6394003554
   4.3494293717        0.6836521133
   4.3984806084        0.7320395729
   4.4475318450        0.7867227480
   4.4965830817        0.8492090406
   4.5456343183        0.9198869808
   4.5946855550        0.9977910099
   4.6437367916        1.0806174270
   4.6927880283        1.1649685288
   4.7418392649        1.2467671379
   4.7908905016        1.3217619612
   4.8399417382        1.3860376780
   4.8889929748        1.4364517340
   4.9380442115        1.4709395498
   4.9870954481        1.4886566827
   5.0361466848        1.4899551826
   5.0851979214        1.4762170368
   5.1342491581        1.4495863764
   5.1833003947        1.4126518215
   5.2323516314        1.3681305696
   5.2814028680        1.3185978278
   5.3304541047        1.2662914337
   5.3795053413        1.2130050929
   5.4285565780        1.1600677075
   5.4776078146        1.1083933487
   5.5266590513        1.0585781997
   5.5757102879        1.0110178560
   5.6247615246        0.9660202968
   5.6738127612        0.9238954375
   5.7228639978        0.8850098276
   5.7719152345        0.8498030843
   5.8209664711        0.8187696461
   5.8700177078        0.7924144590
   5.9190689444        0.7711938853
   5.9681201811        0.7554535889
   6.0171714177        0.7453738866
   6.0662226544        0.7409307151
   6.1152738910        0.7418775725
   6.1643251277        0.7477510338
   6.2133763643        0.7578999237
   6.2624276010        0.7715360222
   6.3114788376        0.7878021627
   6.3605300743        0.8058516817
   6.4095813109        0.8249313955
   6.4586325475        0.8444587729
   6.5076837842        0.8640830988
   6.5567350208        0.8837205858
   6.6057862575        0.9035550045
   6.6548374941        0.9239986716
   6.7038887308        0.9456134794
   6.7529399674        0.9689976054
   6.8019912041        0.9946497923
   6.8510424407        1.0228285528
   6.9000936774        1.0534272054
   6.9491449140        1.0858862960
   6.9981961507        1.1191621349
   7.0472473873        1.1517638553
   7.0962986240        1.1818622217
   7.1453498606        1.2074626136
   7.1944010972        1.2266238596
   7.2434523339        1.2376957327
   7.2925035705        1.2395426161
   7.3415548072        1.2317202947
   7.3906060438        1.2145774761
   7.4396572805        1.1892630780
   7.4887085171        1.1576332716
   7.5377597538        1.1220668003
   7.5868109904        1.0852109162
   7.6358622271        1.0496911056
   7.6849134637        1.0178237744
   7.7339647004        0.9913711461
   7.7830159370        0.9713716537
   7.8320671737        0.9580679887
   7.8811184103        0.9509404394
   7.9301696469        0.9488375596
   7.9792208836        0.9501820590
   8.0282721202        0.9532193698
   8.0773233569        0.9562712402
   8.1263745935        0.9579576475
   8.1754258302        0.9573569965
   8.2244770668        0.9540856994
   8.2735283035        0.9482918319
   8.3225795401        0.9405712879
   8.3716307768        0.9318264095
   8.4206820134        0.9230946405
   8.4697332501        0.9153772585
   8.5187844867        0.9094955531
   8.5678357234        0.9059947069
   8.6168869600        0.9051056100
   8.6659381966        0.9067638571
   8.7149894333        0.9106752462
   8.7640406699        0.9164099286
   8.8130919066        0.9235040638
   8.8621431432        0.9315487269
   8.9111943799        0.9402504359
   8.9602456165        0.9494548557
   9.0092968532        0.9591334467
   9.0583480898        0.9693403683
   9.1073993265        0.9801524142
   9.1564505631        0.9916071738
   9.2055017998        1.0036537195
   9.2545530364        1.0161262936
   9.3036042731        1.0287456812
   9.3526555097        1.0411465307
   9.4017067463        1.0529232064
   9.4507579830        1.0636830018
   9.4998092196        1.0730944432
   9.5488604563        1.0809200942
   9.5979116929        1.0870272929
   9.6469629296        1.0913756586
   9.6960141662        1.0939857797
   9.7450654029        1.0948979913
   9.7941166395        1.0941325850
   9.8431678762        1.0916626094
   9.8922191128        1.0874076483
   9.9412703495        1.0812521738
   9.9903215861        1.0730862865
  10.0393728228        1.0628611068
  10.0884240594        1.0506469918
  10.1374752960        1.0366810381
  10.1865265327        1.0213914465
  10.2355777693        1.0053901420
  10.2846290060        0.9894308742
  10.3336802426        0.9743367504
  10.3827314793        0.9609074554
  10.4317827159        0.9498210118
  10.4808339526        0.9415468631
  10.5298851892        0.9362858582
  10.5789364259        0.9339485199
  10.6279876625        0.9341765045
  10.6770388992        0.9364045948
  10.7260901358        0.9399533040
  10.7751413725        0.9441365837
  10.8241926091        0.9483662855
  10.8732438457        0.9522354976
  10.9222950824        0.9555665996
  10.9713463190        0.9584162007
  11.0203975557        0.9610368932
  11.0694487923        0.9638035454
  11.1185000290        0.9671182367
  11.1675512656        0.9713117493
  11.2166025023        0.9765600589
  11.2656537389        0.9828314405
  11.3147049756        0.9898741406
  11.3637562122        0.9972471112
  11.4128074489        1.0043884247
  11.4618586855        1.0107091148
  11.5109099222        1.0156955619
  11.5599611588        1.0190019709
  11.6090123954        1.0205162335
  11.6580636321        1.0203871691
  11.7071148687        1.0190079309
  11.7561661054        1.0169580030
  11.8052173420        1.0149133409
  11.8542685787        1.0135395744
  11.9033198153        1.0133859005
  11.9523710520        1.0147969325
  12.0014222886        1.0178564865
  12.0504735253        1.0223717369
  12.0995247619        1.0278993870
  12.1485759986        1.0338086875
  12.1976272352        1.0393704646
  12.2466784719        1.0438576944
  12.2957297085        1.0466421015
  12.3447809451        1.0472727969
  12.3938321818        1.0455266862
  12.4428834184        1.0414254939
  12.4919346551        1.0352198007
  12.5409858917        1.0273454842
  12.5900371284        1.0183615981
  12.6390883650        1.0088804981
  12.6881396017        0.9995008174
  12.7371908383        0.9907519430
  12.7862420750        0.9830554989
  12.8352933116        0.9767057121
  12.8843445483        0.9718671595
  12.9333957849        0.9685858759
  12.9824470216        0.9668085221
  13.0314982582        0.9664043447
  13.0805494949        0.9671858176
  13.1296007315        0.9689257088
  13.1786519681        0.9713703378
  13.2277032048        0.9742504588
  13.2767544414        0.9772921094
  13.3258056781        0.9802297304
  13.3748569147        0.9828229174
  13.4239081514        0.9848765918
  13.4729593880        0.9862625967
  13.5220106247        0.9869392113
  13.5710618613        0.9869642704
  13.6201130980        0.9864977391
  13.6691643346        0.9857907992
  13.7182155713        0.9851605762
  13.7672668079        0.9849522067
  13.8163180446        0.9854925076
  13.8653692812        0.9870415504
  13.9144205178        0.9897494953
  13.9634717545        0.9936258578
  14.0125229911        0.9985268932
  14.0615742278        1.0041642187
  14.1106254644        1.0101345492
  14.1596767011        1.0159670505
  14.2087279377        1.0211819057
  14.2577791744        1.0253517444
  14.3068304110        1.0281569592
  14.3558816477        1.0294267353
  14.4049328843        1.0291597318
  14.4539841210        1.0275214118
  14.5030353576        1.0248185366
  14.5520865943        1.0214547264
  14.6011378309        1.0178737255
  14.6501890675        1.0144986739
  14.6992403042        1.0116760531
  14.7482915408        1.0096320470
  14.7973427775        1.0084470239
  14.8463940141        1.0080510779
  14.8954452508        1.0082405113
  14.9444964874        1.0087122656
  14.9935477241        1.0091110157
  15.0425989607        1.0090822116
  15.0916501974        1.0083239107
  15.1407014340        1.0066307651
  15.1897526707        1.0039248510
  15.2388039073        1.0002699009
  15.2878551440        0.9958676371
  15.3369063806        0.9910370281
  15.3859576172        0.9861791607
  15.4350088539        0.9817318821
  15.4840600905        0.9781193262
  15.5331113272        0.9757018602
  15.5821625638        0.9747319001
  15.6312138005        0.9753204804
  15.6802650371        0.9774184826
  15.7293162738        0.9808150893
  15.7783675104        0.9851544093
  15.8274187471        0.9899694030
  15.8764699837        0.9947303591
  15.9255212204        0.9989033845
  15.9745724570        1.0020128800
  16.0236236937        1.0037009930
  16.0726749303        1.0037767612
  16.1217261669        1.0022482435
  16.1707774036        0.9993324236
  16.2198286402        0.9954400006
  16.2688798769        0.9911351351
  16.3179311135        0.9870734729
  16.3669823502        0.9839248749
  16.4160335868        0.9822897952
  16.4650848235        0.9826197281
  16.5141360601        0.9851522891
  16.5631872968        0.9898701666
  16.6122385334        0.9964904639
  16.6612897701        1.0044871513
  16.7103410067        1.0131449682
  16.7593922434        1.0216387589
  16.8084434800        1.0291285647
  16.8574947166        1.0348583722
  16.9065459533        1.0382456715
  16.9555971899        1.0389500364
  17.0046484266        1.0369117123
  17.0536996632        1.0323552798
  17.1027508999        1.0257582785
  17.1518021365        1.0177894886
  17.2008533732        1.0092256776
  17.2499046098        1.0008583926
  17.2989558465        0.9934034211
  17.3480070831        0.9874247308
  17.3970583198        0.9832821704
  17.4461095564        0.9811084316
  17.4951607931        0.9808163225
  17.5442120297        0.9821330180
  17.5932632663        0.9846542999
  17.6423145030        0.9879094179
  17.6913657396        0.9914264114
  17.7404169763        0.9947885719
  17.7894682129        0.9976749652
  17.8385194496        0.9998811394
  17.8875706862        1.0013197123
  17.9366219229        1.0020038556
  17.9856731595        1.0020192146
  18.0347243962        1.0014911448
  18.0837756328        1.0005541397
  18.1328268695        0.9993290701
  18.1818781061        0.9979116345
  18.2309293428        0.9963727161
  18.2799805794        0.9947686711
  18.3290318160        0.9931574472
  18.3780830527        0.9916152405
  18.4271342893        0.9902483431
  18.4761855260        0.9891959052
  18.5252367626        0.9886213196
  18.5742879993        0.9886924336
  18.6233392359        0.9895533408
  18.6723904726        0.9912925999
  18.7214417092        0.9939139728
  18.7704929459        0.9973159099
  18.8195441825        1.0012849727
  18.8685954192        1.0055063340
  18.9176466558        1.0095917443
  18.9666978925        1.0131223732
  19.0157491291        1.0157012183
  19.0648003657        1.0170077961
  19.1138516024        1.0168469469
  19.1629028390        1.0151839773
  19.2119540757        1.0121600116
  19.2610053123        1.0080841040
  19.3100565490        1.0034019821
  19.3591077856        0.9986447579
  19.4081590223        0.9943640107
  19.4572102589        0.9910618601
  19.5062614956        0.9891256342
  19.5553127322        0.9887763377
  19.6043639689        0.9900383678
  19.6534152055        0.9927350523
  19.7024664422        0.9965109982
  19.7515176788        1.0008784594
  19.8005689154        1.0052815117
  19.8496201521        1.0091692549
  19.8986713887        1.0120679410
  19.9477226254        1.0136420404
  19.9967738620        1.0137358099
  20.0458250987        1.0123896926
  20.0948763353        1.0098294675
  20.1439275720        1.0064299564
  20.1929788086        1.0026587181
  20.2420300453        0.9990079942
  20.2910812819        0.9959247891
  20.3401325186        0.9937491446
  20.3891837552        0.9926693684
  20.4382349919        0.9927004046
  20.4872862285        0.9936880649
  20.5363374651        0.9953380007
  20.5853887018        0.9972646617
  20.6344399384        0.9990526023
  20.6834911751        1.0003207878
  20.7325424117        1.0007802828
  20.7815936484        1.0002768813
  20.8306448850        0.9988126839
  20.8796961217        0.9965439416
  20.9287473583        0.9937561387
  20.9777985950        0.9908207150
  21.0268498316        0.9881404868
  21.0759010683        0.9860923180
  21.1249523049        0.9849757016
  21.1740035416        0.9849746574
  21.2230547782        0.9861379647
  21.2721060149        0.9883796549
  21.3211572515        0.9914984112
  21.3702084881        0.9952116106
  21.4192597248        0.9991976730
  21.4683109614        1.0031394723
  21.5173621981        1.0067619210
  21.5664134347        1.0098583658
  21.6154646714        1.0123027910
  21.6645159080        1.0140475895
  21.7135671447        1.0151092862
  21.7626183813        1.0155466262
  21.8116696180        1.0154365050
  21.8607208546        1.0148531518
  21.9097720913        1.0138548301
  21.9588233279        1.0124803507
  22.0078745646        1.0107553077
  22.0569258012        1.0087056443
  22.1059770378        1.0063743990
  22.1550282745        1.0038366470
  22.2040795111        1.0012079062
  22.2531307478        0.9986425998
  22.3021819844        0.9963212949
  22.3512332211        0.9944279568
  22.4002844577        0.9931208586
  22.4493356944        0.9925025628
  22.4983869310        0.9925951562
  22.5474381677        0.9933264592
  22.5964894043        0.9945312801
  22.6455406410        0.9959692032
  22.6945918776        0.9973573433
  22.7436431143        0.9984135354
  22.7926943509        0.9989031336
  22.8417455875        0.9986814282
  22.8907968242        0.9977239392
  22.9398480608        0.9961385185
  22.9888992975        0.9941560563
  23.0379505341        0.9921001526
  23.0870017708        0.9903397812
  23.1360530074        0.9892320663
  23.1851042441        0.9890642552
  23.2341554807        0.9900044137
  23.2832067174        0.9920691849
  23.3322579540        0.9951142998
  23.3813091907        0.9988498625
  23.4303604273        1.0028783642
  23.4794116640        1.0067496209
  23.5284629006        1.0100240306
  23.5775141372        1.0123341982
  23.6265653739        1.0134353053
  23.6756166105        1.0132365547
  23.7246678472        1.0118092326
  23.7737190838        1.0093708418
  23.8227703205        1.0062486767
  23.8718215571        1.0028294450
  23.9208727938        0.9995035543
  23.9699240304        0.9966131452
  24.0189752671        0.9944118259
  24.0680265037        0.9930416126
  24.1170777404        0.9925292731
  24.1661289770        0.9928007517
  24.2151802137        0.9937092659
  24.2642314503        0.9950705642
  24.3132826869        0.9966980719
  24.3623339236        0.9984313124
  24.4113851602        1.0001529001
  24.4604363969        1.0017921225
  24.5094876335        1.0033161129
  24.5585388702        1.0047122452
  24.6075901068        1.0059671439
  24.6566413435        1.0070482536
  24.7056925801        1.0078931666
