#  q,  S(q) neutrons
   8.8967799919        0.9302999985
   8.9458751749        0.9320287339
   8.9949703578        0.9380383589
   9.0440655408        0.9476985089
   9.0931607237        0.9599589885
   9.1422559067        0.9734806940
   9.1913510896        0.9868050012
   9.2404462726        0.9985387340
   9.2895414555        1.0075295856
   9.3386366385        1.0130082031
   9.3877318214        1.0146779043
   9.4368270044        1.0127404816
   9.4859221873        1.0078556652
   9.5350173703        1.0010411914
   9.5841125532        0.9935286558
   9.6332077362        0.9865961940
   9.6823029191        0.9814016776
   9.7313981021        0.9788392023
   9.7804932850        0.9794374078
   9.8295884680        0.9833113363
   9.8786836509        0.9901712663
   9.9277788339        0.9993835592
   9.9768740168        1.0100713597
  10.0259691998        1.0212380481
  10.0750643827        1.0318943261
  10.1241595657        1.0411708803
  10.1732547486        1.0484023500
  10.2223499316        1.0531740542
  10.2714451145        1.0553295334
  10.3205402975        1.0549432961
  10.3696354804        1.0522681864
  10.4187306634        1.0476697680
  10.4678258463        1.0415606915
  10.5169210293        1.0343462766
  10.5660162123        1.0263889687
  10.6151113952        1.0179947068
  10.6642065782        1.0094194700
  10.7133017611        1.0008902353
  10.7623969441        0.9926319829
  10.8114921270        0.9848916146
  10.8605873100        0.9779507694
  10.9096824929        0.9721222246
  10.9587776759        0.9677283022
  11.0078728588        0.9650637293
  11.0569680418        0.9643489754
  11.1060632247        0.9656825595
  11.1551584077        0.9690017400
  11.2042535906        0.9740602198
  11.2533487736        0.9804291343
  11.3024439565        0.9875240475
  11.3515391395        0.9946565441
  11.4006343224        1.0011049486
  11.4497295054        1.0061953860
  11.4988246883        1.0093823658
  11.5479198713        1.0103176509
  11.5970150542        1.0088974530
  11.6461102372        1.0052808034
  11.6952054201        0.9998758648
  11.7443006031        0.9932954077
  11.7933957860        0.9862870022
  11.8424909690        0.9796470267
  11.8915861519        0.9741298411
  11.9406813349        0.9703640572
  11.9897765178        0.9687866846
  12.0388717008        0.9696032002
  12.0879668837        0.9727777034
