# Faber-Ziman Sij(q)             [Ge,Ge]                   
        0.4429644756           0.1559612095   
        0.4920785466           0.0822611676   
        0.5411926177           0.0250747608   
        0.5903066887          -0.0130241426   
        0.6394207598          -0.0312562561   
        0.6885348308          -0.0307432553   
        0.7376489019          -0.0143710243   
        0.7867629729           0.0135869220   
        0.8358770440           0.0480405328   
        0.8849911150           0.0837673186   
        0.9341051861           0.1161051086   
        0.9832192571           0.1415447726   
        1.0323333281           0.1581298794   
        1.0814473992           0.1656034254   
        1.1305614702           0.1652863462   
        1.1796755413           0.1597199970   
        1.2287896123           0.1521459517   
        1.2779036834           0.1459233014   
        1.3270177544           0.1439909456   
        1.3761318255           0.1484688885   
        1.4252458965           0.1604612156   
        1.4743599676           0.1800807393   
        1.5234740386           0.2066700458   
        1.5725881097           0.2391550557   
        1.6217021807           0.2764429748   
        1.6708162518           0.3177713555   
        1.7199303228           0.3629295867   
        1.7690443939           0.4123050583   
        1.8181584649           0.4667466929   
        1.8672725360           0.5272797905   
        1.9163866070           0.5947393947   
        1.9655006781           0.6694076619   
        2.0146147491           0.7507402172   
        2.0637288202           0.8372474674   
        2.1128428912           0.9265634998   
        2.1619569623           1.0156947296   
        2.2110710333           1.1014015752   
        2.2601851044           1.1806374672   
        2.3092991754           1.2509566384   
        2.3584132465           1.3108081605   
        2.4075273175           1.3596573369   
        2.4566413886           1.3979118377   
        2.5057554596           1.4266711927   
        2.5548695307           1.4473557069   
        2.6039836017           1.4612965692   
        2.6530976728           1.4693774052   
        2.7022117438           1.4718068719   
        2.7513258149           1.4680742520   
        2.8004398859           1.4571010474   
        2.8495539570           1.4375593853   
        2.8986680280           1.4082914145   
        2.9477820991           1.3687404515   
        2.9968961701           1.3192994164   
        3.0460102412           1.2614963339   
        3.0951243122           1.1979676336   
        3.1442383833           1.1322115492   
        3.1933524543           1.0681577715   
        3.2424665253           1.0096268976   
        3.2915805964           0.9597766547   
        3.3406946674           0.9206366729   
        3.3898087385           0.8928187612   
        3.4389228095           0.8754580803   
        3.4880368806           0.8663984640   
        3.5371509516           0.8625905537   
        3.5862650227           0.8606329067   
        3.6353790937           0.8573610388   
        3.6844931648           0.8503820037   
        3.7336072358           0.8384636212   
        3.7827213069           0.8217152569   
        3.8318353779           0.8015355108   
        3.8809494490           0.7803438340   
        3.9300635200           0.7611501477   
        3.9791775911           0.7470423453   
        4.0282916621           0.7406818591   
        4.0774057332           0.7438911322   
        4.1265198042           0.7573958971   
        4.1756338753           0.7807543113   
        4.2247479463           0.8124705268   
        4.2738620174           0.8502587677   
        4.3229760884           0.8914010669   
        4.3720901595           0.9331310623   
        4.4212042305           0.9729786899   
