#  q,  S(q) X-rays
   0.4785548046       -0.0501484099
   0.5275976950       -0.1054001886
   0.5766405854       -0.1134387478
   0.6256834758       -0.0865142150
   0.6747263662       -0.0398486244
   0.7237692566        0.0107989179
   0.7728121470        0.0515152409
   0.8218550373        0.0722240702
   0.8708979277        0.0680079178
   0.9199408181        0.0395853868
   0.9689837085       -0.0071066488
   1.0180265989       -0.0621460115
   1.0670694893       -0.1134757084
   1.1161123797       -0.1490858660
   1.1651552701       -0.1591938315
   1.2141981605       -0.1380893879
   1.2632410509       -0.0853592780
   1.3122839413       -0.0062927293
   1.3613268316        0.0886147526
   1.4103697220        0.1850141652
   1.4594126124        0.2667442783
   1.5084555028        0.3182918067
   1.5574983932        0.3273343944
   1.6065412836        0.2870077772
   1.6555841740        0.1975632199
   1.7046270644        0.0671506512
   1.7536699548       -0.0884314628
   1.8027128452       -0.2470493602
   1.8517557356       -0.3825034215
   1.9007986259       -0.4675192883
   1.9498415163       -0.4771236777
   1.9988844067       -0.3920037154
   2.0479272971       -0.2014314816
   2.0969701875        0.0946311876
   2.1460130779        0.4845512851
   2.1950559683        0.9453491398
   2.2440988587        1.4443635958
   2.2931417491        1.9421347523
   2.3421846395        2.3962315834
   2.3912275299        2.7656284698
   2.4402704202        3.0151532809
   2.4893133106        3.1195013528
   2.5383562010        3.0663399411
   2.5873990914        2.8581151087
   2.6364419818        2.5123093457
   2.6854848722        2.0600690472
   2.7345277626        1.5433071473
   2.7835706530        1.0105658957
   2.8326135434        0.5120761232
   2.8816564338        0.0945531482
   2.9306993242       -0.2036883258
   2.9797422145       -0.3567442829
   3.0287851049       -0.3537938194
   3.0778279953       -0.2001219817
   3.1268708857        0.0836283400
   3.1759137761        0.4638891615
   3.2249566665        0.8979993428
   3.2739995569        1.3389845903
   3.3230424473        1.7407233858
   3.3720853377        2.0628947634
   3.4211282281        2.2751366388
   3.4701711185        2.3599468645
   3.5192140088        2.3140200164
   3.5682568992        2.1479102002
   3.6172997896        1.8841181418
   3.6663426800        1.5538923839
   3.7153855704        1.1931847566
   3.7644284608        0.8382903753
   3.8134713512        0.5217215154
   3.8625142416        0.2688118666
   3.9115571320        0.0954317604
   3.9606000224        0.0070333121
   4.0096429127       -0.0009397006
   4.0586858031        0.0585768097
   4.1077286935        0.1668158654
   4.1567715839        0.3022443880
   4.2058144743        0.4436965770
   4.2548573647        0.5731476519
   4.3039002551        0.6777782248
   4.3529431455        0.7511024716
   4.4019860359        0.7930810038
   4.4510289263        0.8092893611
   4.5000718167        0.8093434940
   4.5491147070        0.8048764523
   4.5981575974        0.8074041785
   4.6472004878        0.8264091073
   4.6962433782        0.8679126357
   4.7452862686        0.9337129626
   4.7943291590        1.0213498587
   4.8433720494        1.1247414015
   4.8924149398        1.2353376535
   4.9414578302        1.3435671840
   4.9905007206        1.4403231610
   5.0395436110        1.5182486162
   5.0885865013        1.5726308337
   5.1376293917        1.6017923377
   5.1866722821        1.6069565861
   5.2357151725        1.5916548128
   5.2847580629        1.5608122688
   5.3338009533        1.5196966256
   5.3828438437        1.4729227167
   5.4318867341        1.4236860402
   5.4809296245        1.3733478607
   5.5299725149        1.3214269934
   5.5790154053        1.2659795896
   5.6280582956        1.2042810408
   5.6771011860        1.1336743775
   5.7261440764        1.0524247654
   5.7751869668        0.9604229459
   5.8242298572        0.8596100285
   5.8732727476        0.7540459619
   5.9223156380        0.6496052557
   5.9713585284        0.5533456067
   6.0204014188        0.4726478505
   6.0694443092        0.4142609161
   6.1184871996        0.3833982459
   6.1675300899        0.3830213297
   6.2165729803        0.4134143401
   6.2656158707        0.4721072665
   6.3146587611        0.5541514678
   6.3637016515        0.6526998604
   6.4127445419        0.7598019756
   6.4617874323        0.8672977738
   6.5108303227        0.9676865191
   6.5598732131        1.0548581620
   6.6089161035        1.1246016042
   6.6579589939        1.1748417079
   6.7070018842        1.2055984956
   6.7560447746        1.2187010365
   6.8050876650        1.2173193554
   6.8541305554        1.2053963828
   6.9031734458        1.1870668267
   6.9522163362        1.1661414885
   7.0012592266        1.1457166316
   7.0503021170        1.1279425573
   7.0993450074        1.1139581987
   7.1483878978        1.1039737417
   7.1974307881        1.0974645511
   7.2464736785        1.0934291610
   7.2955165689        1.0906623271
   7.3445594593        1.0880001978
   7.3936023497        1.0845064367
   7.4426452401        1.0795828453
   7.4916881305        1.0730028448
   7.5407310209        1.0648785883
   7.5897739113        1.0555808273
   7.6388168017        1.0456342327
   7.6878596921        1.0356099174
   7.7369025824        1.0260324668
   7.7859454728        1.0173123435
   7.8349883632        1.0097077081
   7.8840312536        1.0033138754
   7.9330741440        0.9980747282
   7.9821170344        0.9938087737
   8.0311599248        0.9902429288
   8.0802028152        0.9870488977
   8.1292457056        0.9838792939
   8.1782885960        0.9804026121
   8.2273314864        0.9763371670
   8.2763743767        0.9714839392
   8.3254172671        0.9657570734
   8.3744601575        0.9592090554
   8.4235030479        0.9520460463
   8.4725459383        0.9446281649
   8.5215888287        0.9374501907
   8.5706317191        0.9311003651
   8.6196746095        0.9261984815
   8.6687174999        0.9233186559
   8.7177603903        0.9229062056
   8.7668032807        0.9252009936
   8.8158461710        0.9301806049
   8.8648890614        0.9375353364
   8.9139319518        0.9466831436
   8.9629748422        0.9568268727
   9.0120177326        0.9670491931
   9.0610606230        0.9764338259
   9.1101035134        0.9841961896
   9.1591464038        0.9898035635
   9.2081892942        0.9930650132
   9.2572321846        0.9941748251
   9.3062750750        0.9936996577
   9.3553179653        0.9925080777
   9.4043608557        0.9916502805
   9.4534037461        0.9922040738
   9.5024466365        0.9951092111
   9.5514895269        1.0010148257
   9.6005324173        1.0101634890
   9.6495753077        1.0223304064
   9.6986181981        1.0368282062
   9.7476610885        1.0525779356
   9.7967039789        1.0682368115
   9.8457468693        1.0823646139
   9.8947897596        1.0936047449
   9.9438326500        1.1008538490
   9.9928755404        1.1033958286
  10.0419184308        1.1009817583
  10.0909613212        1.0938456534
  10.1400042116        1.0826559073
  10.1890471020        1.0684118728
  10.2380899924        1.0523029938
  10.2871328828        1.0355528683
  10.3361757732        1.0192719077
  10.3852186635        1.0043397661
  10.4342615539        0.9913329482
  10.4833044443        0.9805050116
  10.5323473347        0.9718179393
  10.5813902251        0.9650150464
  10.6304331155        0.9597195396
  10.6794760059        0.9555395323
  10.7285188963        0.9521603866
  10.7775617867        0.9494085769
  10.8266046771        0.9472771728
  10.8756475675        0.9459104401
  10.9246904578        0.9455526321
  10.9737333482        0.9464724981
  11.0227762386        0.9488792639
  11.0718191290        0.9528471777
  11.1208620194        0.9582639690
  11.1699049098        0.9648141089
  11.2189478002        0.9720013870
  11.2679906906        0.9792081654
  11.3170335810        0.9857819785
  11.3660764714        0.9911350673
  11.4151193618        0.9948398351
  11.4641622521        0.9967035290
  11.5132051425        0.9968086253
  11.5622480329        0.9955108990
  11.6112909233        0.9933940532
  11.6603338137        0.9911869368
  11.7093767041        0.9896555880
  11.7584195945        0.9894866002
  11.8074624849        0.9911799012
  11.8565053753        0.9949677306
  11.9055482657        1.0007725946
  11.9545911561        1.0082109437
  12.0036340464        1.0166422292
  12.0526769368        1.0252559865
  12.1017198272        1.0331837875
  12.1507627176        1.0396192019
  12.1998056080        1.0439278686
  12.2488484984        1.0457315248
  12.2978913888        1.0449540579
  12.3469342792        1.0418236105
  12.3959771696        1.0368315299
  12.4450200600        1.0306554172
  12.4940629504        1.0240587078
  12.5431058407        1.0177823272
  12.5921487311        1.0124445980
  12.6411916215        1.0084637038
  12.6902345119        1.0060130322
  12.7392774023        1.0050143231
  12.7883202927        1.0051676414
  12.8373631831        1.0060117242
  12.8864060735        1.0070040511
  12.9354489639        1.0076076557
  12.9844918543        1.0073714886
  13.0335347447        1.0059929815
  13.0825776350        1.0033549184
  13.1316205254        0.9995331539
  13.1806634158        0.9947763469
  13.2297063062        0.9894629576
  13.2787491966        0.9840436725
  13.3277920870        0.9789788070
  13.3768349774        0.9746800001
  13.4258778678        0.9714638566
  13.4749207582        0.9695225285
  13.5239636486        0.9689131093
  13.5730065390        0.9695647193
  13.6220494293        0.9712997900
  13.6710923197        0.9738646194
  13.7201352101        0.9769638978
  13.7691781005        0.9802944806
  13.8182209909        0.9835749281
  13.8672638813        0.9865688719
  13.9163067717        0.9891016988
  13.9653496621        0.9910710573
  14.0143925525        0.9924521169
  14.0634354429        0.9932983450
  14.1124783332        0.9937379855
  14.1615212236        0.9939657169
  14.2105641140        0.9942284584
  14.2596070044        0.9948042823
  14.3086498948        0.9959740300
  14.3576927852        0.9979865171
  14.4067356756        1.0010199351
  14.4557785660        1.0051438610
  14.5048214564        1.0102877064
  14.5538643468        1.0162220351
  14.6029072372        1.0225586076
  14.6519501275        1.0287731474
  14.7009930179        1.0342517874
  14.7500359083        1.0383583318
  14.7990787987        1.0405154809
  14.8481216891        1.0402897249
  14.8971645795        1.0374674562
  14.9462074699        1.0321095240
  14.9952503603        1.0245732765
  15.0442932507        1.0154950118
  15.0933361411        1.0057312588
  15.1423790315        0.9962636465
  15.1914219218        0.9880782846
  15.2404648122        0.9820355273
  15.2895077026        0.9787487740
  15.3385505930        0.9784909588
  15.3875934834        0.9811443807
  15.4366363738        0.9862038303
  15.4856792642        0.9928353349
  15.5347221546        0.9999844183
  15.5837650450        1.0065198681
  15.6328079354        1.0113929473
  15.6818508258        1.0137888263
  15.7308937161        1.0132473863
  15.7799366065        1.0097345210
  15.8289794969        1.0036521287
  15.8780223873        0.9957841025
  15.9270652777        0.9871853853
  15.9761081681        0.9790300189
  16.0251510585        0.9724406472
  16.0741939489        0.9683250429
  16.1232368393        0.9672443739
  16.1722797297        0.9693331950
  16.2213226201        0.9742832540
  16.2703655104        0.9813933773
  16.3194084008        0.9896775060
  16.3684512912        0.9980140039
  16.4174941816        1.0053130869
  16.4665370720        1.0106766164
  16.5155799624        1.0135259514
  16.5646228528        1.0136788225
  16.6136657432        1.0113643753
  16.6627086336        1.0071753292
  16.7117515240        1.0019659929
  16.7607944144        0.9967131413
  16.8098373047        0.9923621698
  16.8588801951        0.9896827176
  16.9079230855        0.9891558587
  16.9569659759        0.9909094366
  17.0060088663        0.9947101164
  17.0550517567        1.0000115949
  17.1040946471        1.0060496197
  17.1531375375        1.0119674345
  17.2021804279        1.0169510319
  17.2512233183        1.0203527653
  17.3002662086        1.0217844514
  17.3493090990        1.0211665604
  17.3983519894        1.0187274704
  17.4473948798        1.0149548058
  17.4964377702        1.0105082957
  17.5454806606        1.0061092212
  17.5945235510        1.0024245648
  17.6435664414        0.9999640638
  17.6926093318        0.9990056159
  17.7416522222        0.9995594702
  17.7906951126        1.0013752304
  17.8397380029        1.0039889781
  17.8887808933        1.0068018395
  17.9378237837        1.0091769419
  17.9868666741        1.0105395243
  18.0359095645        1.0104651739
  18.0849524549        1.0087435902
  18.1339953453        1.0054094309
  18.1830382357        1.0007369452
  18.2320811261        0.9952004377
  18.2811240165        0.9894073462
  18.3301669069        0.9840142221
  18.3792097972        0.9796377755
  18.4282526876        0.9767732437
  18.4772955780        0.9757307839
  18.5263384684        0.9765977073
  18.5753813588        0.9792306490
  18.6244242492        0.9832777359
  18.6734671396        0.9882270102
  18.7225100300        0.9934742258
