# Ashcroft-Langreth Sij(q)       [Ge,Ge]                   
        0.4666309177           0.0904369570   
        0.5156976559           0.0197607605   
        0.5647643941          -0.0260784430   
        0.6138311322          -0.0497024740   
        0.6628978704          -0.0555636046   
        0.7119646085          -0.0491359484   
        0.7610313467          -0.0360504885   
        0.8100980849          -0.0212967375   
        0.8591648230          -0.0085993742   
        0.9082315612          -0.0000486508   
        0.9572982994           0.0039766651   
        1.0063650375           0.0045996757   
        1.0554317757           0.0039977145   
        1.1044985139           0.0048001633   
        1.1535652520           0.0094371464   
        1.2026319902           0.0195505032   
        1.2516987284           0.0355676766   
        1.3007654665           0.0565132325   
        1.3498322047           0.0800954140   
        1.3988989429           0.1030618044   
        1.4479656810           0.1217751130   
        1.4970324192           0.1329235807   
        1.5460991573           0.1342559631   
        1.5951658955           0.1252222668   
        1.6442326337           0.1074100185   
        1.6932993718           0.0846910049   
        1.7423661100           0.0630319652   
        1.7914328482           0.0499695069   
        1.8404995863           0.0537981343   
        1.8895663245           0.0825638993   
        1.9386330627           0.1429885012   
        1.9876998008           0.2394648044   
        2.0367665390           0.3732619590   
        2.0858332772           0.5420564297   
        2.1349000153           0.7398667423   
        2.1839667535           0.9574195019   
        2.2330334916           1.1829188237   
        2.2821002298           1.4031382123   
        2.3311669680           1.6047104272   
        2.3802337061           1.7754630844   
        2.4293004443           1.9056396768   
        2.4783671825           1.9888587009   
        2.5274339206           2.0226960638   
        2.5765006588           2.0088236195   
        2.6255673970           1.9526930922   
        2.6746341351           1.8628121066   
        2.7237008733           1.7497097208   
        2.7727676115           1.6247258940   
        2.8218343496           1.4987778289   
        2.8709010878           1.3812538779   
        2.9199678260           1.2791634470   
        2.9690345641           1.1966326506   
        3.0181013023           1.1347862158   
        3.0671680404           1.0920035366   
        3.1162347786           1.0644883427   
        3.1653015168           1.0470538377   
        3.2143682549           1.0340032136   
        3.2634349931           1.0199815299   
        3.3125017313           1.0006886321   
        3.3615684694           0.9733710704   
        3.4106352076           0.9370488205   
        3.4597019458           0.8924737898   
        3.5087686839           0.8418552557   
        3.5578354221           0.7884170296   
        3.6069021603           0.7358684476   
        3.6559688984           0.6878746336   
        3.7050356366           0.6476015611   
        3.7541023748           0.6173910148   
        3.8031691129           0.5985938646   
        3.8522358511           0.5915620210   
        3.9013025892           0.5957747429   
        3.9503693274           0.6100573545   
        3.9994360656           0.6328420671   
        4.0485028037           0.6624218657   
        4.0975695419           0.6971579750   
        4.1466362801           0.7356165506   
        4.1957030182           0.7766275348   
        4.2447697564           0.8192745865   
        4.2938364946           0.8628367604   
        4.3429032327           0.9067084164   
        4.3919699709           0.9503232560   
        4.4410367091           0.9931023086   
        4.4901034472           1.0344360797   
        4.5391701854           1.0737003994   
        4.5882369235           1.1102963049   
        4.6373036617           1.1436985097   
        4.6863703999           1.1734957486   
        4.7354371380           1.1994095169   
        4.7845038762           1.2212844168   
        4.8335706144           1.2390516765   
        4.8826373525           1.2526753283   
        4.9317040907           1.2620960393   
        4.9807708289           1.2671893352   
        5.0298375670           1.2677524587   
        5.0789043052           1.2635278720   
        5.1279710434           1.2542628181   
        5.1770377815           1.2397953429   
        5.2261045197           1.2201498084   
        5.2751712579           1.1956209437   
        5.3242379960           1.1668259302   
        5.3733047342           1.1347089768   
        5.4223714723           1.1004914370   
        5.4714382105           1.0655710557   
        5.5205049487           1.0313842646   
        5.5695716868           0.9992534168   
        5.6186384250           0.9702447509   
        5.6677051632           0.9450618006   
        5.7167719013           0.9239930256   
        5.7658386395           0.9069227319   
        5.8149053777           0.8934027634   
        5.8639721158           0.8827712760   
        5.9130388540           0.8742963575   
        5.9621055922           0.8673180536   
        6.0111723303           0.8613633234   
        6.0602390685           0.8562143575   
        6.1093058066           0.8519203496   
        6.1583725448           0.8487542158   
        6.2074392830           0.8471266003   
        6.2565060211           0.8474775723   
        6.3055727593           0.8501700936   
        6.3546394975           0.8554079063   
        6.4037062356           0.8631943158   
        6.4527729738           0.8733387678   
        6.5018397120           0.8855072046   
        6.5509064501           0.8993022723   
        6.5999731883           0.9143526823   
        6.6490399265           0.9303888920   
        6.6981066646           0.9472852617   
        6.7471734028           0.9650563999   
        6.7962401410           0.9838059544   
        6.8453068791           1.0036374076   
        6.8943736173           1.0245460595   
        6.9434403554           1.0463171714   
        6.9925070936           1.0684558234   
        7.0415738318           1.0901690657   
        7.0906405699           1.1104112534   
        7.1397073081           1.1279908798   
        7.1887740463           1.1417242519   
        7.2378407844           1.1506106532   
        7.2869075226           1.1539974817   
        7.3359742608           1.1517036741   
        7.3850409989           1.1440758036   
        7.4341077371           1.1319625924   
        7.4831744753           1.1166081748   
        7.5322412134           1.0994795217   
        7.5813079516           1.0820561021   
        7.6303746897           1.0656175927   
        7.6794414279           1.0510666527   
        7.7285081661           1.0388180933   
