# Faber-Ziman Sij(q)             [Ge,Ge]                   
        0.4728252267           0.1267547300   
        0.5218795762           0.0587386235   
        0.5709339258           0.0098700940   
        0.6199882753          -0.0215734816   
        0.6690426249          -0.0386800631   
        0.7180969744          -0.0452918032   
        0.7671513240          -0.0453528458   
        0.8162056735          -0.0423100381   
        0.8652600230          -0.0386505093   
        0.9143143726          -0.0356383792   
        0.9633687221          -0.0332824909   
        1.0124230717          -0.0305321989   
        1.0614774212          -0.0256637367   
        1.1105317708          -0.0167903944   
        1.1595861203          -0.0024098670   
        1.2086404699           0.0181053337   
        1.2576948194           0.0441622415   
        1.3067491690           0.0738149546   
        1.3558035185           0.1038834334   
        1.4048578681           0.1303245786   
        1.4539122176           0.1488176306   
        1.5029665672           0.1554905620   
        1.5520209167           0.1476875045   
        1.6010752662           0.1246634706   
        1.6501296158           0.0880942352   
        1.6991839653           0.0423067562   
        1.7482383149          -0.0058326924   
        1.7972926644          -0.0473930458   
        1.8463470140          -0.0721881268   
        1.8954013635          -0.0698468535   
        1.9444557131          -0.0310293636   
        1.9935100626           0.0513527424   
        2.0425644122           0.1810639925   
        2.0916187617           0.3577633947   
        2.1406731113           0.5766285868   
        2.1897274608           0.8284568570   
        2.2387818104           1.1002591079   
        2.2878361599           1.3763034406   
        2.3368905094           1.6395087239   
        2.3859448590           1.8730425852   
        2.4349992085           2.0619489105   
        2.4840535581           2.1946213710   
        2.5331079076           2.2639533309   
        2.5821622572           2.2680294843   
        2.6312166067           2.2102767039   
        2.6802709563           2.0990545408   
        2.7293253058           1.9467317742   
        2.7783796554           1.7683560612   
        2.8274340049           1.5800713629   
        2.8764883545           1.3974663528   
        2.9255427040           1.2340428272   
        2.9745970536           1.0999755795   
        3.0236514031           1.0012966580   
        3.0727057526           0.9395825515   
        3.1217601022           0.9121598131   
        3.1708144517           0.9127811941   
        3.2198688013           0.9326687343   
        3.2689231508           0.9617794587   
        3.3179775004           0.9901283247   
        3.3670318499           1.0090039987   
        3.4160861995           1.0119351168   
        3.4651405490           0.9953042211   
        3.5141948986           0.9585576427   
        3.5632492481           0.9040149004   
        3.6123035977           0.8363330512   
        3.6613579472           0.7617229561   
        3.7104122968           0.6870404270   
        3.7594666463           0.6188828648   
        3.8085209958           0.5628111943   
        3.8575753454           0.5227901517   
        3.9066296949           0.5009019686   
        3.9556840445           0.4973453059   
        4.0047383940           0.5106894466   
        4.0537927436           0.5383192878   
        4.1028470931           0.5769841806   
        4.1519014427           0.6233557821   
        4.2009557922           0.6745070820   
        4.2500101418           0.7282446914   
        4.2990644913           0.7832555177   
        4.3481188409           0.8390620840   
        4.3971731904           0.8958126137   
        4.4462275400           0.9539576976   
        4.4952818895           1.0138811810   
        4.5443362390           1.0755569077   
        4.5933905886           1.1382950924   
        4.6424449381           1.2006242180   
        4.6914992877           1.2603297860   
        4.7405536372           1.3146442117   
        4.7896079868           1.3605570608   
        4.8386623363           1.3951955750   
        4.8877166859           1.4162148280   
        4.9367710354           1.4221362105   
        4.9858253850           1.4125819415   
        5.0348797345           1.3883701448   
        5.0839340841           1.3514567605   
        5.1329884336           1.3047336071   
        5.1820427832           1.2517126874   
        5.2310971327           1.1961422560   
        5.2801514822           1.1416081789   
        5.3292058318           1.0911738784   
        5.3782601813           1.0471041658   
        5.4273145309           1.0107041600   
        5.4763688804           0.9822867522   
        5.5254232300           0.9612635615   
        5.5744775795           0.9463378405   
        5.6235319291           0.9357655960   
        5.6725862786           0.9276447574   
        5.7216406282           0.9201920250   
        5.7706949777           0.9119725446   
        5.8197493273           0.9020574581   
        5.8688036768           0.8900967889   
        5.9178580264           0.8763079639   
        5.9669123759           0.8613916199   
        6.0159667254           0.8463946831   
        6.0650210750           0.8325451855   
        6.1140754245           0.8210837075   
        6.1631297741           0.8131131906   
        6.2121841236           0.8094831170   
        6.2612384732           0.8107169515   
        6.3102928227           0.8169845751   
        6.3593471723           0.8281153087   
        6.4084015218           0.8436427989   
        6.4574558714           0.8628708465   
        6.5065102209           0.8849491226   
        6.5555645705           0.9089492121   
        6.6046189200           0.9339339119   
        6.6536732696           0.9590155093   
        6.7027276191           0.9834012660   
        6.7517819686           1.0064261386   
        6.8008363182           1.0275737146   
        6.8498906677           1.0464865265   
        6.8989450173           1.0629665907   
        6.9479993668           1.0769665667   
        6.9970537164           1.0885716906   
        7.0461080659           1.0979728445   
        7.0951624155           1.1054318495   
        7.1442167650           1.1112412099   
        7.1932711146           1.1156818107   
        7.2423254641           1.1189831370   
        7.2913798137           1.1212910856   
        7.3404341632           1.1226481099   
        7.3894885128           1.1229891939   
        7.4385428623           1.1221550821   
        7.4875972118           1.1199216067   
        7.5366515614           1.1160412855   
        7.5857059109           1.1102911206   
        7.6347602605           1.1025191658   
        7.6838146100           1.0926822781   
        7.7328689596           1.0808686386   
        7.7819233091           1.0673009855   
        7.8309776587           1.0523196862   
        7.8800320082           1.0363482510   
        7.9290863578           1.0198470273   
        7.9781407073           1.0032630383   
        8.0271950569           0.9869847927   
        8.0762494064           0.9713101863   
        8.1253037560           0.9564334055   
        8.1743581055           0.9424533774   
        8.2234124550           0.9294023511   
        8.2724668046           0.9172893374   
        8.3215211541           0.9061500736   
        8.3705755037           0.8960935037   
        8.4196298532           0.8873348174   
        8.4686842028           0.8802069388   
        8.5177385523           0.8751457493   
        8.5667929019           0.8726487294   
        8.6158472514           0.8732113983   
        8.6649016010           0.8772501288   
        8.7139559505           0.8850228762   
        8.7630103001           0.8965605565   
        8.8120646496           0.9116209706   
        8.8611189992           0.9296743693   
        8.9101733487           0.9499253892   
        8.9592276982           0.9713708134   
        9.0082820478           0.9928872382   
        9.0573363973           1.0133381080   
        9.1063907469           1.0316864379   
        9.1554450964           1.0470983858   
        9.2044994460           1.0590238642   
        9.2535537955           1.0672434417   
        9.3026081451           1.0718754267   
        9.3516624946           1.0733425431   
        9.4007168442           1.0723031722   
        9.4497711937           1.0695569241   
        9.4988255433           1.0659376090   
        9.5478798928           1.0622080542   
        9.5969342424           1.0589704949   
        9.6459885919           1.0566036206   
        9.6950429414           1.0552332310   
        9.7440972910           1.0547385119   
        9.7931516405           1.0547909314   
        9.8422059901           1.0549184244   
        9.8912603396           1.0545844845   
        9.9403146892           1.0532703938   
        9.9893690387           1.0505492148   
       10.0384233883           1.0461421703   
       10.0874777378           1.0399512566   
       10.1365320874           1.0320657964   
       10.1855864369           1.0227445257   
       10.2346407865           1.0123781202   
       10.2836951360           1.0014393468   
       10.3327494856           0.9904290077   
       10.3818038351           0.9798254844   
       10.4308581846           0.9700441696   
       10.4799125342           0.9614107479   
       10.5289668837           0.9541496074   
       10.5780212333           0.9483861181   
       10.6270755828           0.9441595099   
       10.6761299324           0.9414419191   
       10.7251842819           0.9401589582   
       10.7742386315           0.9402078410   
       10.8232929810           0.9414704404   
       10.8723473306           0.9438203436   
       10.9214016801           0.9471246239   
       10.9704560297           0.9512423356   
       11.0195103792           0.9560224089   
       11.0685647288           0.9613035641   
       11.1176190783           0.9669181296   
       11.1666734278           0.9727004133   
       11.2157277774           0.9784988352   
       11.2647821269           0.9841897090   
       11.3138364765           0.9896896693   
       11.3628908260           0.9949635013   
       11.4119451756           1.0000246415   
       11.4609995251           1.0049268058   
       11.5100538747           1.0097468858   
       11.5591082242           1.0145610980   
       11.6081625738           1.0194180252   
       11.6572169233           1.0243133032   
       11.7062712729           1.0291710019   
       11.7553256224           1.0338361190   
       11.8043799720           1.0380810723   
       11.8534343215           1.0416268621   
       11.9024886710           1.0441770282   
       11.9515430206           1.0454600830   
       12.0005973701           1.0452742005   
       12.0496517197           1.0435269676   
       12.0987060692           1.0402631775   
       12.1477604188           1.0356750273   
       12.1968147683           1.0300915098   
       12.2458691179           1.0239469104   
       12.2949234674           1.0177316665   
       12.3439778170           1.0119318625   
       12.3930321665           1.0069658096   
       12.4420865161           1.0031271007   
       12.4911408656           1.0005430185   
       12.5401952152           0.9991552396   
       12.5892495647           0.9987266631   
       12.6383039142           0.9988743586   
       12.6873582638           0.9991246603   
       12.7364126133           0.9989829547   
       12.7854669629           0.9980082833   
       12.8345213124           0.9958819171   
       12.8835756620           0.9924597376   
       12.9326300115           0.9878005071   
       12.9816843611           0.9821655993   
       13.0307387106           0.9759899632   
       13.0797930602           0.9698283564   
       13.1288474097           0.9642845535   
       13.1779017593           0.9599337249   
       13.2269561088           0.9572491166   
       13.2760104584           0.9565433920   
       13.3250648079           0.9579326544   
       13.3741191574           0.9613276395   
       13.4231735070           0.9664524074   
       13.4722278565           0.9728867525   
       13.5212822061           0.9801251150   
       13.5703365556           0.9876425745   
       13.6193909052           0.9949578405   
       13.6684452547           1.0016841031   
       13.7174996043           1.0075609806   
       13.7665539538           1.0124641655   
       13.8156083034           1.0163931517   
       13.8646626529           1.0194409938   
       13.9137170025           1.0217528079   
       13.9627713520           1.0234812403   
       14.0118257015           1.0247471935   
       14.0608800511           1.0256127256   
       14.1099344006           1.0260705220   
       14.1589887502           1.0260511320   
       14.2080430997           1.0254458436   
       14.2570974493           1.0241402252   
       14.3061517988           1.0220514691   
       14.3552061484           1.0191620532   
       14.4042604979           1.0155429686   
       14.4533148475           1.0113616978   
       14.5023691970           1.0068729034   
       14.5514235466           1.0023928988   
       14.6004778961           0.9982618731   
       14.6495322457           0.9948000114   
       14.6985865952           0.9922647325   
       14.7476409447           0.9908160685   
       14.7966952943           0.9904957975   
       14.8457496438           0.9912235739   
       14.8948039934           0.9928104127   
       14.9438583429           0.9949869831   
       14.9929126925           0.9974417774   
       15.0419670420           0.9998627369   
       15.0910213916           1.0019755922   
       15.1400757411           1.0035730421   
       15.1891300907           1.0045307651   
       15.2381844402           1.0048087794   
       15.2872387898           1.0044393703   
       15.3362931393           1.0035051807   
       15.3853474889           1.0021127033   
       15.4344018384           1.0003670003   
       15.4834561879           0.9983529478   
       15.5325105375           0.9961267401   
       15.5815648870           0.9937191169   
       15.6306192366           0.9911492171   
       15.6796735861           0.9884456117   
       15.7287279357           0.9856693672   
       15.7777822852           0.9829332829   
       15.8268366348           0.9804118808   
       15.8758909843           0.9783382498   
       15.9249453339           0.9769862005   
       15.9739996834           0.9766389753   
       16.0230540330           0.9775484591   
       16.0721083825           0.9798909879   
       16.1211627321           0.9837270267   
       16.1702170816           0.9889719551   
       16.2192714311           0.9953839245   
       16.2683257807           1.0025724018   
       16.3173801302           1.0100279617   
       16.3664344798           1.0171706177   
       16.4154888293           1.0234110130   
       16.4645431789           1.0282166254   
       16.5135975284           1.0311741156   
       16.5626518780           1.0320392583   
       16.6117062275           1.0307674814   
       16.6607605771           1.0275206805   
       16.7098149266           1.0226492451   
       16.7588692762           1.0166516489   
       16.8079236257           1.0101169914   
       16.8569779753           1.0036580959   
       16.9060323248           0.9978438556   
       16.9550866743           0.9931393526   
       17.0041410239           0.9898609244   
       17.0531953734           0.9881510546   
       17.1022497230           0.9879751137   
       17.1513040725           0.9891389915   
       17.2003584221           0.9913240016   
       17.2494127716           0.9941334507   
       17.2984671212           0.9971441904   
       17.3475214707           0.9999563960   
       17.3965758203           1.0022356678   
       17.4456301698           1.0037431256   
       17.4946845194           1.0043511704   
       17.5437388689           1.0040446921   
       17.5927932185           1.0029093927   
       17.6418475680           1.0011103267   
       17.6909019175           0.9988645882   
       17.7399562671           0.9964122497   
       17.7890106166           0.9939892538   
       17.8380649662           0.9918051104   
       17.8871193157           0.9900271551   
       17.9361736653           0.9887719751   
       17.9852280148           0.9881035837   
       18.0342823644           0.9880371527   
       18.0833367139           0.9885466525   
       18.1323910635           0.9895746180   
       18.1814454130           0.9910423915   
       18.2304997626           0.9928595302   
       18.2795541121           0.9949314947   
       18.3286084617           0.9971651893   
       18.3776628112           0.9994723229   
       18.4267171607           1.0017708714   
       18.4757715103           1.0039851315   
       18.5248258598           1.0060449628   
       18.5738802094           1.0078848399   
       18.6229345589           1.0094432889   
       18.6719889085           1.0106631840   
       18.7210432580           1.0114932233   
       18.7700976076           1.0118907062   
       18.8191519571           1.0118254979   
       18.8682063067           1.0112847984   
       18.9172606562           1.0102780797   
       18.9663150058           1.0088413380   
       19.0153693553           1.0070396899   
       19.0644237049           1.0049673649   
       19.1134780544           1.0027443456   
       19.1625324039           1.0005092875   
       19.2115867535           0.9984088844   
       19.2606411030           0.9965844643   
       19.3096954526           0.9951572113   
       19.3587498021           0.9942138870   
       19.4078041517           0.9937951686   
       19.4568585012           0.9938886378   
       19.5059128508           0.9944280117   
       19.5549672003           0.9952994307   
       19.6040215499           0.9963546002   
       19.6530758994           0.9974294763   
       19.7021302490           0.9983661695   
       19.7511845985           0.9990350140   
       19.8002389481           0.9993534574   
       19.8492932976           0.9992986746   
       19.8983476471           0.9989115935   
       19.9474019967           0.9982912531   
       19.9964563462           0.9975799164   
       20.0455106958           0.9969408929   
       20.0945650453           0.9965323129   
       20.1436193949           0.9964809193   
       20.1926737444           0.9968601126   
       20.2417280940           0.9976759517   
       20.2907824435           0.9988636272   
       20.3398367931           1.0002952648   
       20.3888911426           1.0017980547   
       20.4379454922           1.0031799525   
       20.4869998417           1.0042588702   
       20.5360541913           1.0048906195   
       20.5851085408           1.0049910115   
       20.6341628903           1.0045484639   
       20.6832172399           1.0036250536   
       20.7322715894           1.0023459256   
       20.7813259390           1.0008789728   
       20.8303802885           0.9994083777   
       20.8794346381           0.9981066530   
       20.9284889876           0.9971100303   
       20.9775433372           0.9965013781   
       21.0265976867           0.9963033923   
       21.0756520363           0.9964828584   
       21.1247063858           0.9969646815   
       21.1737607354           0.9976525247   
       21.2228150849           0.9984516345   
       21.2718694345           0.9992890224   
