# Faber-Ziman Sij(q)             [Ge,Ge]                   
        6.9303986272           0.9813737982   
        6.9795008049           0.9784333488   
        7.0286029825           0.9794080478   
        7.0777051602           0.9848232699   
        7.1268073378           0.9945738853   
        7.1759095155           1.0079171707   
        7.2250116931           1.0235670242   
        7.2741138707           1.0398759519   
        7.3232160484           1.0550754039   
        7.3723182260           1.0675344375   
        7.4214204037           1.0759934309   
        7.4705225813           1.0797342443   
        7.5196247590           1.0786599019   
        7.5687269366           1.0732732426   
        7.6178291142           1.0645619260   
        7.6669312919           1.0538132841   
        7.7160334695           1.0423938312   
        7.7651356472           1.0315328392   
        7.8142378248           1.0221466378   
        7.8633400025           1.0147310426   
        7.9124421801           1.0093355558   
        7.9615443577           1.0056175284   
        8.0106465354           1.0029602852   
        8.0597487130           1.0006288687   
        8.1088508907           0.9979322595   
        8.1579530683           0.9943621950   
        8.2070552460           0.9896853900   
        8.2561574236           0.9839763899   
        8.3052596012           0.9775902205   
        8.3543617789           0.9710850554   
        8.4034639565           0.9651132968   
        8.4525661342           0.9603034753   
        8.5016683118           0.9571548503   
        8.5507704895           0.9559620894   
        8.5998726671           0.9567801906   
        8.6489748448           0.9594315461   
        8.6980770224           0.9635494205   
        8.7471792000           0.9686464843   
        8.7962813777           0.9741942165   
        8.8453835553           0.9796990923   
        8.8944857330           0.9847640562   
        8.9435879106           0.9891279454   
        8.9926900883           0.9926802210   
        9.0417922659           0.9954525988   
        9.0908944435           0.9975922549   
        9.1399966212           0.9993229108   
        9.1890987988           1.0009003676   
        9.2382009765           1.0025683341   
        9.2873031541           1.0045191824   
        9.3364053318           1.0068630389   
        9.3855075094           1.0096076452   
        9.4346096870           1.0126507677   
        9.4837118647           1.0157863939   
        9.5328140423           1.0187252645   
        9.5819162200           1.0211291450   
        9.6310183976           1.0226565447   
        9.6801205753           1.0230154579   
        9.7292227529           1.0220165232   
        9.7783249306           1.0196183549   
        9.8274271082           1.0159563128   
        9.8765292858           1.0113471167   
        9.9256314635           1.0062646614   
        9.9747336411           1.0012868817   
       10.0238358188           0.9970188758   
       10.0729379964           0.9940027080   
       10.1220401741           0.9926282224   
