#  q,  S(q) neutrons
   0.4643170910        0.1502276124
   0.5133884568        0.0764817668
   0.5624598226        0.0180946607
   0.6115311885       -0.0233019221
   0.6606025543       -0.0475944943
   0.7096739201       -0.0561570311
   0.7587452859       -0.0516419874
   0.8078166517       -0.0376115033
   0.8568880175       -0.0180543205
   0.9059593834        0.0031443935
   0.9550307492        0.0227015069
   1.0041021150        0.0383253265
   1.0531734808        0.0489338213
   1.1022448466        0.0546666762
   1.1513162125        0.0566909871
   1.2003875783        0.0568369479
   1.2494589441        0.0571315453
   1.2985303099        0.0593189891
   1.3476016757        0.0644619931
   1.3966730415        0.0727062930
   1.4457444074        0.0832632228
   1.4948157732        0.0946259989
   1.5438871390        0.1049911361
   1.5929585048        0.1128149180
   1.6420298706        0.1174037275
   1.6911012365        0.1194224431
   1.7401726023        0.1212105140
   1.7892439681        0.1268208194
   1.8383153339        0.1417385819
   1.8873866997        0.1722899497
   1.9364580655        0.2248039171
   1.9855294314        0.3046379124
   2.0346007972        0.4152084766
   2.0836721630        0.5571781838
   2.1327435288        0.7279358653
   2.1818148946        0.9214707318
   2.2308862605        1.1286872681
   2.2799576263        1.3381448237
   2.3290289921        1.5371432877
   2.3781003579        1.7130238279
   2.4271717237        1.8545195900
   2.4762430895        1.9529808569
   2.5253144554        2.0033141507
   2.5743858212        2.0045128744
   2.6234571870        1.9597125530
   2.6725285528        1.8757681857
   2.7215999186        1.7624150611
   2.7706712844        1.6311283300
   2.8197426503        1.4938330857
   2.8688140161        1.3616309543
   2.9178853819        1.2436999920
   2.9669567477        1.1464943123
   3.0160281135        1.0733236555
   3.0650994794        1.0243384751
   3.1141708452        0.9968913208
   3.1632422110        0.9861981498
   3.2123135768        0.9861898991
   3.2613849426        0.9904289381
   3.3104563084        0.9929677818
   3.3595276743        0.9890467868
   3.4085990401        0.9755592810
   3.4576704059        0.9512510551
   3.5067417717        0.9166602264
   3.5558131375        0.8738375272
   3.6048845034        0.8259117301
   3.6539558692        0.7765776863
   3.7030272350        0.7295848434
   3.7520986008        0.6882935265
   3.8011699666        0.6553475914
   3.8502413324        0.6324890022
   3.8993126983        0.6205163764
   3.9483840641        0.6193690452
   3.9974554299        0.6283032727
   4.0465267957        0.6461193542
   4.0955981615        0.6713975282
   4.1446695274        0.7027060907
   4.1937408932        0.7387550792
   4.2428122590        0.7784813098
   4.2918836248        0.8210632681
   4.3409549906        0.8658755182
   4.3900263564        0.9124005670
   4.4390977223        0.9601207660
   4.4881690881        1.0084137027
   4.5372404539        1.0564720024
   4.5863118197        1.1032632537
   4.6353831855        1.1475388239
   4.6844545514        1.1878926520
   4.7335259172        1.2228636412
   4.7825972830        1.2510688698
   4.8316686488        1.2713501567
   4.8807400146        1.2829140382
   4.9298113804        1.2854452134
   4.9788827463        1.2791760305
   5.0279541121        1.2648994208
   5.0770254779        1.2439193902
   5.1260968437        1.2179410356
   5.1751682095        1.1889101647
   5.2242395753        1.1588199173
   5.2733109412        1.1295072626
   5.3223823070        1.1024649787
   5.3714536728        1.0786940800
   5.4205250386        1.0586174722
   5.4695964044        1.0420682003
   5.5186677703        1.0283558697
   5.5677391361        1.0164039520
   5.6168105019        1.0049402996
   5.6658818677        0.9927148991
   5.7149532335        0.9787140843
   5.7640245993        0.9623400307
   5.8130959652        0.9435286400
   5.8621673310        0.9227874395
   5.9112386968        0.9011466927
   5.9603100626        0.8800298502
   6.0093814284        0.8610617519
   6.0584527943        0.8458426816
   6.1075241601        0.8357218739
   6.1565955259        0.8316044218
   6.2056668917        0.8338206135
   6.2547382575        0.8420772425
   6.3038096233        0.8554978735
   6.3528809892        0.8727453926
   6.4019523550        0.8922076044
   6.4510237208        0.9122171688
   6.5000950866        0.9312722930
   6.5491664524        0.9482250562
   6.5982378183        0.9624098981
   6.6473091841        0.9736946813
   6.6963805499        0.9824491638
   6.7454519157        0.9894386579
   6.7945232815        0.9956620165
   6.8435946473        1.0021610881
   6.8926660132        1.0098322477
   6.9417373790        1.0192691237
   6.9908087448        1.0306596291
   7.0398801106        1.0437509937
   7.0889514764        1.0578853455
   7.1380228423        1.0720973614
   7.1870942081        1.0852563521
   7.2361655739        1.0962292421
   7.2852369397        1.1040390057
   7.3343083055        1.1079952983
   7.3833796713        1.1077796802
   7.4324510372        1.1034758346
   7.4815224030        1.0955440950
   7.5305937688        1.0847479394
   7.5796651346        1.0720465942
   7.6287365004        1.0584716401
   7.6778078662        1.0450061743
   7.7268792321        1.0324828289
   7.7759505979        1.0215124212
   7.8250219637        1.0124491680
   7.8740933295        1.0053923188
   7.9231646953        1.0002187436
   7.9722360612        0.9966372375
   8.0213074270        0.9942534851
   8.0703787928        0.9926348238
   8.1194501586        0.9913658471
   8.1685215244        0.9900889515
   8.2175928902        0.9885274682
   8.2666642561        0.9864923589
   8.3157356219        0.9838760561
   8.3648069877        0.9806385305
   8.4138783535        0.9767909899
   8.4629497193        0.9723818582
   8.5120210852        0.9674881555
   8.5610924510        0.9622134825
   8.6101638168        0.9566919092
   8.6592351826        0.9510955136
   8.7083065484        0.9456423534
   8.7573779142        0.9406013626
   8.8064492801        0.9362910455
   8.8555206459        0.9330697458
   8.9045920117        0.9313165434
   8.9536633775        0.9314032538
   9.0027347433        0.9336594080
   9.0518061092        0.9383333116
   9.1008774750        0.9455532007
   9.1499488408        0.9552930517
   9.1990202066        0.9673477013
   9.2480915724        0.9813215480
   9.2971629382        0.9966342217
   9.3462343041        1.0125452356
   9.3953056699        1.0281978236
   9.4443770357        1.0426800393
   9.4934484015        1.0550989368
   9.5425197673        1.0646615204
   9.5915911332        1.0707544484
   9.6406624990        1.0730135115
   9.6897338648        1.0713739458
   9.7388052306        1.0660938501
   9.7878765964        1.0577453694
   9.8369479622        1.0471717141
   9.8860193281        1.0354121529
   9.9350906939        1.0236013471
   9.9841620597        1.0128531841
  10.0332334255        1.0041420325
  10.0823047913        0.9981955727
  10.1313761571        0.9954127604
  10.1804475230        0.9958179852
  10.2295188888        0.9990583418
  10.2785902546        1.0044456244
  10.3276616204        1.0110388939
  10.3767329862        1.0177580633
  10.4258043521        1.0235146772
  10.4748757179        1.0273435899
  10.5239470837        1.0285189424
  10.5730184495        1.0266398128
  10.6220898153        1.0216748788
  10.6711611811        1.0139608622
  10.7202325470        1.0041556317
  10.7693039128        0.9931527711
  10.8183752786        0.9819693362
  10.8674466444        0.9716217610
  10.9165180102        0.9630060126
  10.9655893761        0.9567970414
  11.0146607419        0.9533795394
  11.0637321077        0.9528175003
  11.1128034735        0.9548647449
  11.1618748393        0.9590132050
  11.2109462051        0.9645710573
  11.2600175710        0.9707593799
  11.3090889368        0.9768142273
  11.3581603026        0.9820810280
  11.4072316684        0.9860898836
  11.4563030342        0.9886033615
  11.5053744001        0.9896322529
  11.5544457659        0.9894189692
  11.6035171317        0.9883922316
  11.6525884975        0.9871000154
  11.7016598633        0.9861299900
  11.7507312291        0.9860277596
  11.7998025950        0.9872230193
  11.8488739608        0.9899723871
  11.8979453266        0.9943253806
  11.9470166924        1.0001170551
  11.9960880582        1.0069875730
  12.0451594241        1.0144257667
  12.0942307899        1.0218309544
  12.1433021557        1.0285851530
  12.1923735215        1.0341266541
  12.2414448873        1.0380158123
  12.2905162531        1.0399848894
  12.3395876190        1.0399658039
  12.3886589848        1.0380924416
  12.4377303506        1.0346774686
  12.4868017164        1.0301669467
  12.5358730822        1.0250790358
  12.5849444480        1.0199352611
  12.6340158139        1.0151938775
  12.6830871797        1.0111945894
  12.7321585455        1.0081222575
  12.7812299113        1.0059944439
  12.8303012771        1.0046740870
  12.8793726430        1.0039047825
  12.9284440088        1.0033626707
  12.9775153746        1.0027163546
  13.0265867404        1.0016850446
  13.0756581062        1.0000854820
  13.1247294720        0.9978601200
  13.1738008379        0.9950822419
  13.2228722037        0.9919376717
  13.2719435695        0.9886867989
  13.3210149353        0.9856140969
  13.3700863011        0.9829745489
  13.4191576670        0.9809469636
  13.4682290328        0.9796029494
  13.5173003986        0.9788974826
  13.5663717644        0.9786830320
  13.6154431302        0.9787447969
  13.6645144960        0.9788505551
  13.7135858619        0.9788056817
  13.7626572277        0.9785026374
  13.8117285935        0.9779549318
  13.8607999593        0.9773081606
  13.9098713251        0.9768247676
  13.9589426910        0.9768439932
  14.0080140568        0.9777231689
  14.0570854226        0.9797702323
  14.1061567884        0.9831793674
  14.1552281542        0.9879815857
  14.2042995200        0.9940198325
