#  q,  S(q) X-rays
   0.4612730929        0.1728623329
   0.5103505467        0.0980724057
   0.5594280005        0.0353504450
   0.6085054543       -0.0131335630
   0.6575829081       -0.0464187060
   0.7066603619       -0.0648113926
   0.7557378158       -0.0697928368
   0.8048152696       -0.0637823743
   0.8538927234       -0.0497880072
   0.9029701772       -0.0309961637
   0.9520476310       -0.0103646881
   1.0011250848        0.0097163039
   1.0502025386        0.0276425733
   1.0992799925        0.0426617243
   1.1483574463        0.0547843414
   1.1974349001        0.0645674426
   1.2465123539        0.0728226087
   1.2955898077        0.0803166050
   1.3446672615        0.0875345383
   1.3937447153        0.0945635753
   1.4428221692        0.1011307500
   1.4918996230        0.1067957031
   1.5409770768        0.1112644287
   1.5900545306        0.1147600548
   1.6391319844        0.1183675561
   1.6882094382        0.1242655004
   1.7372868920        0.1357711400
   1.7863643459        0.1571539091
   1.8354417997        0.1932122191
   1.8845192535        0.2486525930
   1.9335967073        0.3273508124
   1.9826741611        0.4316042667
   2.0317516149        0.5614972194
   2.0808290687        0.7144931219
   2.1299065226        0.8853407469
   2.1789839764        1.0663375605
   2.2280614302        1.2479410732
   2.2771388840        1.4196653276
   2.3262163378        1.5711539767
   2.3752937916        1.6932911809
   2.4243712454        1.7792019494
   2.4734486993        1.8250063493
   2.5225261531        1.8302253371
   2.5716036069        1.7977846214
   2.6206810607        1.7336193021
   2.6697585145        1.6459372609
   2.7188359683        1.5442449485
   2.7679134221        1.4382685729
   2.8169908760        1.3369127761
   2.8660683298        1.2473870646
   2.9151457836        1.1746002297
   2.9642232374        1.1208802049
   3.0133006912        1.0860284491
   3.0623781450        1.0676716891
   3.1114555988        1.0618365547
   3.1605330527        1.0636492946
   3.2096105065        1.0680557732
   3.2586879603        1.0704659288
   3.3077654141        1.0672489141
   3.3568428679        1.0560354889
   3.4059203217        1.0358172453
   3.4549977755        1.0068624230
   3.5040752294        0.9704909735
   3.5531526832        0.9287644420
   3.6022301370        0.8841484460
   3.6513075908        0.8391982634
   3.7003850446        0.7963039994
   3.7494624984        0.7575145127
   3.7985399522        0.7244423638
   3.8476174061        0.6982384979
   3.8966948599        0.6796171001
   3.9457723137        0.6689086261
   3.9948497675        0.6661217158
   4.0439272213        0.6710008731
   4.0930046751        0.6830742832
   4.1420821289        0.7016928274
   4.1911595828        0.7260656281
   4.2402370366        0.7552985250
   4.2893144904        0.7884398743
   4.3383919442        0.8245339099
