#  q,  S(q) X-rays
  15.2404488563        1.0035096949
  15.2894918269        0.9991284280
  15.3385347974        0.9963204672
  15.3875777680        0.9951390229
  15.4366207386        0.9954220913
  15.4856637091        0.9968184722
  15.5347066797        0.9988406311
  15.5837496503        1.0009373919
  15.6327926209        1.0025760395
  15.6818355914        1.0033215462
  15.7308785620        1.0029007113
  15.7799215326        1.0012410991
  15.8289645031        0.9984784959
  15.8780074737        0.9949315819
  15.9270504443        0.9910478115
  15.9760934149        0.9873292232
  16.0251363854        0.9842502310
  16.0741793560        0.9821808071
  16.1232223266        0.9813275914
  16.1722652971        0.9817024906
  16.2213082677        0.9831237652
  16.2703512383        0.9852492066
  16.3193942089        0.9876357143
  16.3684371794        0.9898152681
  16.4174801500        0.9913746936
  16.4665231206        0.9920261317
  16.5155660911        0.9916568169
  16.5646090617        0.9903502979
  16.6136520323        0.9883759848
  16.6626950029        0.9861490495
  16.7117379734        0.9841673805
  16.7607809440        0.9829357532
  16.8098239146        0.9828890856
  16.8588668851        0.9843264162
  16.9079098557        0.9873651832
  16.9569528263        0.9919219228
  17.0059957969        0.9977212767
  17.0550387674        1.0043309193
  17.1040817380        1.0112163583
  17.1531247086        1.0178070674
  17.2021676791        1.0235643637
  17.2512106497        1.0280418902
  17.3002536203        1.0309313001
  17.3492965909        1.0320883758
  17.3983395614        1.0315378579
  17.4473825320        1.0294582170
  17.4964255026        1.0261500535
  17.5454684731        1.0219934727
  17.5945114437        1.0174005378
  17.6435544143        1.0127687929
  17.6925973849        1.0084410244
  17.7416403554        1.0046751283
  17.7906833260        1.0016264157
  17.8397262966        0.9993431375
  17.8887692671        0.9977745937
  17.9378122377        0.9967900084
  17.9868552083        0.9962054351
  18.0358981789        0.9958153082
  18.0849411494        0.9954248843
  18.1339841200        0.9948797272
  18.1830270906        0.9940886206
  18.2320700611        0.9930368837
  18.2811130317        0.9917880400
  18.3301560023        0.9904731326
  18.3791989729        0.9892685999
  18.4282419434        0.9883653472
  18.4772849140        0.9879332395
  18.5263278846        0.9880863958
  18.5753708551        0.9888551312
  18.6244138257        0.9901699496
  18.6734567963        0.9918615858
  18.7224997669        0.9936788140
  18.7715427374        0.9953228784
  18.8205857080        0.9964943850
  18.8696286786        0.9969458556
  18.9186716491        0.9965314054
  18.9677146197        0.9952445906
  19.0167575903        0.9932366012
  19.0658005609        0.9908096097
  19.1148435314        0.9883839026
  19.1638865020        0.9864418426
  19.2129294726        0.9854559927
  19.2619724431        0.9858121005
  19.3110154137        0.9877394033
  19.3600583843        0.9912604422
  19.4091013549        0.9961701477
  19.4581443254        1.0020496733
  19.5071872960        1.0083149321
  19.5562302666        1.0142939363
  19.6052732371        1.0193218675
  19.6543162077        1.0228392546
  19.7033591783        1.0244774246
  19.7524021489        1.0241168416
  19.8014451194        1.0219079193
  19.8504880900        1.0182498102
  19.8995310606        1.0137295672
