# Ashcroft-Langreth Sij(q)       [Ge,Ge]                   
        0.4453033195           0.1002819849   
        0.4944127128           0.0361860399   
        0.5435221062          -0.0046393773   
        0.5926314995          -0.0236456401   
        0.6417408929          -0.0242592029   
        0.6908502863          -0.0112315071   
        0.7399596796           0.0101250337   
        0.7890690730           0.0347046569   
        0.8381784663           0.0582725928   
        0.8872878597           0.0779381077   
        0.9363972531           0.0923797765   
        0.9855066464           0.1018059558   
        1.0346160398           0.1076747013   
        1.0837254331           0.1122340554   
        1.1328348265           0.1179699300   
        1.1819442199           0.1270605709   
        1.2310536132           0.1409319890   
        1.2801630066           0.1599886342   
        1.3292724000           0.1835614160   
        1.3783817933           0.2100764314   
        1.4274911867           0.2374090404   
        1.4766005800           0.2633558413   
        1.5257099734           0.2861370704   
        1.5748193668           0.3048373289   
        1.6239287601           0.3197039365   
        1.6730381535           0.3322474477   
        1.7221475468           0.3451233476   
        1.7712569402           0.3618115005   
        1.8203663336           0.3861439300   
        1.8694757269           0.4217561188   
        1.9185851203           0.4715481532   
        1.9676945136           0.5372381850   
        2.0168039070           0.6190730409   
        2.0659133004           0.7157330501   
        2.1150226937           0.8244356593   
        2.1641320871           0.9412111817   
        2.2132414805           1.0612995912   
        2.2623508738           1.1796035895   
        2.3114602672           1.2911319454   
        2.3605696605           1.3913775604   
        2.4096790539           1.4765938326   
        2.4587884473           1.5439561309   
        2.5078978406           1.5916174792   
        2.5570072340           1.6186843324   
        2.6061166273           1.6251465323   
        2.6552260207           1.6117941495   
        2.7043354141           1.5801441505   
        2.7534448074           1.5323847673   
        2.8025542008           1.4713293215   
        2.8516635941           1.4003584772   
        2.9007729875           1.3233240391   
        2.9498823809           1.2443903815   
        2.9989917742           1.1678011986   
        3.0481011676           1.0975771678   
        3.0972105610           1.0371703789   
        3.1463199543           0.9891192246   
        3.1954293477           0.9547583623   
        3.2445387410           0.9340390720   
        3.2936481344           0.9255045879   
        3.3427575278           0.9264439134   
        3.3918669211           0.9332196098   
        3.4409763145           0.9417350941   
        3.4900857078           0.9479807908   
        3.5391951012           0.9485812931   
        3.5883044946           0.9412612174   
        3.6374138879           0.9251571013   
        3.6865232813           0.9009252750   
        3.7356326746           0.8706274274   
        3.7847420680           0.8374111170   
        3.8338514614           0.8050354777   
        3.8829608547           0.7773169839   
        3.9320702481           0.7575820404   
        3.9811796415           0.7482103339   
        4.0302890348           0.7503359963   
        4.0793984282           0.7637459113   
        4.1285078215           0.7869810406   
        4.1776172149           0.8176134904   
        4.2267266083           0.8526449612   
        4.2758360016           0.8889557384   
        4.3249453950           0.9237298720   
        4.3740547883           0.9547916182   
        4.4231641817           0.9808081581   
        4.4722735751           1.0013398601   
        4.5213829684           1.0167467991   
        4.5704923618           1.0279838409   
        4.6196017551           1.0363323632   
        4.6687111485           1.0431223542   
        4.7178205419           1.0494940102   
        4.7669299352           1.0562348220   
        4.8160393286           1.0637097426   
        4.8651487220           1.0718823796   
        4.9142581153           1.0804081671   
        4.9633675087           1.0887691833   
        5.0124769020           1.0964163592   
        5.0615862954           1.1028882684   
        5.1106956888           1.1078850468   
        5.1598050821           1.1112886908   
        5.2089144755           1.1131340306   
        5.2580238688           1.1135452543   
        5.3071332622           1.1126589649   
        5.3562426556           1.1105554896   
        5.4053520489           1.1072159155   
        5.4544614423           1.1025144963   
        5.5035708356           1.0962467627   
        5.5526802290           1.0881850931   
        5.6017896224           1.0781475372   
        5.6508990157           1.0660634651   
        5.7000084091           1.0520213149   
        5.7491178025           1.0362886135   
        5.7982271958           1.0193011481   
        5.8473365892           1.0016249796   
        5.8964459825           0.9839003290   
        5.9455553759           0.9667791432   
